AnthroposophyMedMed,AnthroposophyMedTherapy,Autohaemotherapy,Ayurveda,BMI,Baden_Württemberg,Bayern,Berlin,Brandenburg,Bremen,Cancer_screening,Chelattherapie,Child_UG,Doc_search,EmerencyService_Abroad,Feldenkrais,GKVname,Generika,Hamburg,Health_checkUp,Hessen,HomoeopathyMed,HomoeopathyTherapy,Irisdiagnostic,Lighttherapy,MVP,NRW,Niedersachsen,Osteopathy,Physiotherapy,Premium_rate,Replexmassage,Rheinland_Pfalz,Saarland,Sachsen,Sachsen_Anhalt,Schleswig_Holtstein,Shiatsu,TCM,Thüringen,Travel_vacc,Vaccine,adjuvant,alter_cancerMed,alter_cancerTherapy,appointment_help,careReminderService,gym,hospital_search,medical_phoneInfo,non_smoker,online_branch,pharmacy,prevention,reciept_online,reha_search,service_hotline,skinCancer,sport_club,sport_ensigh,teeth_clean,yearly_dentist
Nein,Nein,Nein,Nein,nein,True,False,False,False,False,nein,Nein,nein,ja,nein,Nein,Metzinger BKK,nein,False,nein,False,Nein,Nein,Nein,Nein,False,False,False,Nein,Nein,"14,60% ",Nein,False,False,False,False,False,Nein,Nein,True,keine Angabe,Keiner.,keine Angabe,Nein,Nein,nein,nein,nein,ja,nein,nein,nein,nein,nein,nein,ja,Das Service-Telefon der Metzinger BKK unter 07123/72613-0 ist wie folgt erreichbar:,nein,nein,nein,nein,nein
"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,True,True,True,True,True,ja,Nein,ja,ja,ja,"Nein, aber Bezuschussung im Rahmen eines",Betriebskrankenkasse Mobil Oil,nein,True,nein,True,"Nein, aber Bezuschussung im Rahmen eines","Ja, max. 100,00 % und max. 787,12 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","15,70% ","Nein, aber Bezuschussung im Rahmen eines",True,True,True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,"Ja, für eine Auswahl der Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 80,00%.",,nein,Nein,Nein,ja,ja,nein,ja,"ja, die medizinische Infohotline der Betriebskrankenkasse Mobil Oil ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,nein,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, J1",ja,nein,ja,Das Service-Telefon der Betriebskrankenkasse Mobil Oil unter 0800-2550800 ist wie folgt erreichbar:,ja,ja,ja,nein,nein
Nein,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,True,True,True,True,True,ja,"Nein, aber Bezuschussung im Rahmen eines",ja,ja,nein,Nein,Betriebskrankenkasse WMF ,nein,True,ja,True,"Nein, aber Bezuschussung im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern, nur regional für alle Versicherten","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Ja, max. 80,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Säuglinge 1. Lebensjahr)","Nein, aber Bezuschussung im Rahmen eines","15,70% ","Nein, aber Bezuschussung im Rahmen eines",True,True,True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,"Nein, aber Bezuschussung im Rahmen eines",Nein,nein,ja,ja,ja,"ja, die medizinische Infohotline der Betriebskrankenkasse WMF  ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,nein,nein,ja,nein,ja,Das Service-Telefon der Betriebskrankenkasse WMF  unter 07331 258264 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,BKK24,nein,True,nein,True,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 80,00 % und max. 360,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"15,70% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,keine Angabe,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK24 ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,ja,ja,Das Service-Telefon der BKK24 unter 05724-9710 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 30,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,mhplus Betriebskrankenkasse,nein,True,nein,True,"Ja, max. 100,00 % und max. 30,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 750,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 80,00 % und max. 120,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 30,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,70% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,keine Angabe,Nein,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",nein,nein,ja,ja,"ja, die medizinische Infohotline der mhplus Betriebskrankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der mhplus Betriebskrankenkasse unter 07141 9790-0 ist wie folgt erreichbar:,ja,ja,ja,nein,nein
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,False,True,False,True,ja,Nein,ja,ja,ja,Nein,BKK Melitta Plus,nein,False,nein,False,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,False,True,True,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,70% ",Nein,False,False,False,False,False,Nein,Nein,False,"Ja, für eine Auswahl der Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 150,00 EUR. Übernahme im Rahmen eines",,keine Angabe,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK Melitta Plus ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,nein,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, J1",ja,nein,ja,Das Service-Telefon der BKK Melitta Plus unter 0571 9759-0 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,energie-BKK,nein,True,nein,True,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 730,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,Nein,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,70% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der energie-BKK ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der energie-BKK unter 0800-0123512 ist wie folgt erreichbar:,ja,ja,ja,nein,nein
Nein,Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,nein,Nein,BKK Linde,ja,True,nein,True,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder unter 12)","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,Nein,Nein,"15,70% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 80,00%.",,keine Angabe,Nein,Nein,ja,nein,ja,ja,nein,ja,ja,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, J1",ja,nein,ja,Das Service-Telefon der BKK Linde unter 0800-1105631 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 130,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,BKK Wirtschaft & Finanzen,ja,True,nein,True,"Ja, max. 100,00 % und max. 130,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,False,True,True,"Ja, max. 100,00 % und max. 360,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 130,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,70% ",Nein,True,True,True,False,False,Nein,Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,ja,"Ja, max. 100,00 % und max. 130,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,ja,ja,ja,nein,"ja, die medizinische Infohotline der BKK Wirtschaft & Finanzen ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,ja,ja,Das Service-Telefon der BKK Wirtschaft & Finanzen unter 0800-5661800 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
keine Angabe,keine Angabe,keine Angabe,keine Angabe,ja,False,False,False,False,False,nein,keine Angabe,ja,ja,nein,keine Angabe,BKK Achenbach Buschhütten,ja,False,nein,False,keine Angabe,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",keine Angabe,keine Angabe,False,True,False,"Ja, max. 80,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",keine Angabe,"15,70% ",keine Angabe,False,False,False,False,False,keine Angabe,keine Angabe,False,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,ja,ja,ja,ja,nein,ja,nein,ja,ja,nein,ja,Das Service-Telefon der BKK Achenbach Buschhütten unter 0800-2552200 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
